2024-01-04 00:14:52.155[1704309292155] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=SELL&type=MARKET&quantity=309&timestamp=1704309292077&signature=f44ad0f8a1a85e1a70d1093eb4adbb8457a097eda3e9022808190bdc28ec0951
2024-01-04 07:24:37.660[1704335077660] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0.02100&timestamp=1704335077621&signature=d4f8838c9e9508e13e10f396b21fa17297dd8752e149366f029c06fa12fddff8
2024-01-04 07:37:15.318[1704335835318] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0.01900&timestamp=1704335835178&signature=2a6e8d880d4ad5c649dd08f1334e9b5b05340e0599ec7c33cf501ff5d6877d2e
2024-01-04 07:37:57.512[1704335877512] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0.02000&timestamp=1704335877466&signature=18de095810bdeb1191f56fb854cf4dbb35959fd3a97a9332aab8f02dfc7ef550
2024-01-04 07:44:21.491[1704336261491] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=STOP_MARKET&timeInForce=GTC&quantity=308&price=0.02000&timestamp=1704336261450&signature=c24c661bbda54777f54ac9ebdb46e7344a9f0ae08f29ddcbfdfc8fbe9546d270
2024-01-04 07:46:15.062[1704336375062] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=STOP_MARKET&timeInForce=GTC&quantity=308&stopPrice=0.02000&timestamp=1704336375019&signature=b5b5aac1523c6c00396afc7e25c2023fe62cc9e40b549f5e6ad13bdea57f41c5
2024-01-04 07:51:34.201[1704336694201] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0.019&timestamp=1704336694152&signature=bc66844eccdbf8fbe49ec0c5d550b3e1945689eb149f41b01f2150a5259cc531
2024-01-04 20:33:49.806[1704382429806] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=SELL&type=MARKET&quantity=307&timestamp=1704382429762&signature=16cd354856e7f3727da4cd4b3929297a1f87d0be1d470d67dcd3f478cb2fdf76
2024-01-04 20:34:56.645[1704382496645] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=MARKET&quantity=307&timestamp=1704382496603&signature=9c2877c9f269d13efb9ff8aa6c2f60f971d4536f6b11cc07d13f896efd5dbc09
2024-01-04 20:39:34.195[1704382774195] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=309&price=0.019&timestamp=1704382774150&signature=a3a15e53d583f1899781fd1d614561a5df847566f453ac12a350d3f8dc6d2679
2024-01-04 20:41:05.302[1704382865302] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - DELETE https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&orderId=946916635&timestamp=1704382865261&signature=fcb9ed3124e738998f86541a180fbc659a3400ce5bb6e3f0a8bd44991e489cd1
2024-01-04 21:59:44.716[1704387584716] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - DELETE https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&orderId=946916635&timestamp=1704387584671&signature=5e78e1e4020e6746b22cab2a4766bd87d0103af67de49f90dd8f54fab9a3b3b3
2024-01-04 22:13:33.805[1704388413805] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/pgXDllPZZfUszoo0yzerDKOjHFf4DUAOQNTGInEym4nnoK0rmI5axrtPSU2wEPYi
2024-01-04 22:13:35.533[1704388415533] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
